;agreeableness;conscientiousness;extraversion;neuroticism;openness;✨;❤️;🥰;😍;🌱;😂;🌿;😋;🖤;🙌🏼;💛;🤤;💫;😅;👌🏼;🤗;💕;📷;👉🏼;🙏🏼;▪;🙈;✅;😘;🦋;💓;🥳;🤩;👏🏼;➡️
agreeableness;_;-0.4463289200131305;_;-0.665827771090929;0.32837290732027574;_;_;_;_;_;_;_;_;-0.3245604926933685;_;_;0.46777548650764983;_;_;_;_;_;_;_;_;_;_;_;_;-0.38826370424934065;_;_;_;_;_
conscientiousness;-0.4463289200131305;_;0.4905350694824379;0.5798227377174745;_;_;_;_;-0.3596233946408501;_;-0.3252174869451718;_;_;_;_;_;-0.3688380119204506;_;_;_;_;_;0.3567647629788756;_;_;_;_;_;_;0.3439921721184707;0.3210039215179388;_;_;_;_
extraversion;_;0.4905350694824379;_;0.46930736404420614;_;_;_;_;_;0.3947113325679744;_;_;_;_;_;_;_;_;-0.4275317371223056;_;_;_;0.34027610979909845;_;_;_;_;_;_;_;0.3635695992683741;_;_;_;_
neuroticism;-0.665827771090929;0.5798227377174745;0.46930736404420614;_;-0.37608053397527086;_;_;_;-0.4363021568244002;_;-0.37380314111867663;_;_;_;_;_;-0.44901533331278587;_;_;_;_;0.3458663539826717;0.39674410014080086;_;_;_;_;_;_;0.549487839977268;_;_;_;_;_
openness;0.32837290732027574;_;_;-0.37608053397527086;_;_;_;_;0.333552615498443;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
✨;_;_;_;_;_;_;_;_;_;_;-0.3770734568355202;_;_;_;_;0.34047565311927036;0.34356582231776406;_;_;_;_;_;_;0.4105275025895854;_;-0.3654678564955513;_;_;_;_;0.4090011127340944;_;_;0.4807394213271882;_
❤️;_;_;_;_;_;_;_;_;0.4668726854691557;_;0.39866270196557224;_;_;_;_;_;_;_;_;_;_;_;-0.3719100306557896;_;_;_;_;0.34942150496461494;_;_;-0.35467700826322196;_;_;_;_
🥰;_;_;_;_;_;_;_;_;_;0.3577832786915216;_;_;_;_;_;_;0.40031987332602476;_;0.3620779227137285;0.40209838424442107;0.32145229114823487;_;-0.48513942906006263;_;_;_;_;_;_;_;_;0.7062716384754155;0.5905863978724907;0.41345633459972725;_
😍;_;-0.3596233946408501;_;-0.4363021568244002;0.333552615498443;_;0.4668726854691557;_;_;_;0.433477804986087;_;_;_;_;_;_;_;_;_;_;_;-0.42137372456463607;_;_;0.33283729961260866;_;_;0.44347080074960643;_;_;_;_;_;_
🌱;_;_;0.3947113325679744;_;_;_;_;0.3577832786915216;_;_;_;_;_;_;0.5690057187548179;_;_;0.3425941404340948;_;0.5147730273307292;0.37732784115694923;_;_;_;0.48769792127074163;_;0.40410481635159884;_;_;_;_;0.475578094370879;_;0.4657138236200879;_
