;agreeableness;conscientiousness;extraversion;neuroticism;openness;✨;❤️;🥰;😍;🌱;😂;🌿;😋;🖤;🙌🏼;💛;🤤;💫;😅;👌🏼;🤗;💕;📷;👉🏼;🙏🏼;▪;🙈;✅;😘;🦋;💓;🥳;🤩;👏🏼;➡️
agreeableness;1.0;0.00497;0.14943;1e-05;0.04413;0.3301;0.71246;0.47319;0.07534;0.22117;0.09005;0.98052;0.28255;0.0468;0.39766;0.42477;0.00306;0.23365;0.07609;0.62943;0.18838;0.57205;0.11943;0.35448;0.05623;0.05596;0.07942;0.99469;0.62139;0.016;0.29549;0.45689;0.65577;0.97693;0.51511
conscientiousness;0.00497;1.0;0.00177;0.00014;0.30522;0.86324;0.988;0.89045;0.02658;0.83417;0.04633;0.14301;0.13411;0.66503;0.86991;0.4232;0.02268;0.37283;0.06548;0.29326;0.21742;0.07773;0.0279;0.64376;0.588;0.0993;0.43265;0.21303;0.25222;0.03446;0.04941;0.91371;0.23886;0.48572;0.48236
extraversion;0.14943;0.00177;1.0;0.00295;0.61271;0.71902;0.61624;0.52162;0.66098;0.01419;0.43429;0.35955;0.86009;0.11965;0.06247;0.57981;0.24216;0.07139;0.00742;0.25979;0.38585;0.24878;0.03658;0.82966;0.39548;0.57976;0.25535;0.08471;0.82874;0.20677;0.02485;0.75869;0.88308;0.05408;0.17325
neuroticism;1e-05;0.00014;0.00295;1.0;0.01996;0.6976;0.6218;0.48383;0.00617;0.96192;0.02079;0.22485;0.28316;0.13248;0.91288;0.92327;0.00469;0.20965;0.05082;0.18542;0.18292;0.03342;0.01366;0.08569;0.25257;0.24402;0.0502;0.32202;0.89044;0.00035;0.23695;0.4236;0.83498;0.85557;0.6395
openness;0.04413;0.30522;0.61271;0.01996;1.0;0.37658;0.52853;0.90078;0.04071;0.74545;0.961;0.37237;0.15628;0.44959;0.35608;0.98666;0.19259;0.95946;0.99791;0.11622;0.72975;0.51564;0.78303;0.16864;0.44462;0.54656;0.9212;0.82278;0.10974;0.54733;0.99512;0.97332;0.66351;0.17113;0.61544
✨;0.3301;0.86324;0.71902;0.6976;0.37658;1.0;0.33458;0.59746;0.91056;0.97416;0.01961;0.05526;0.43469;0.48761;0.08081;0.03647;0.0347;0.09487;0.85051;0.40478;0.95997;0.35741;0.20309;0.01046;0.23215;0.02405;0.20883;0.6414;0.91464;0.45027;0.01078;0.43203;0.21007;0.00225;0.2711
❤️;0.71246;0.988;0.61624;0.6218;0.52853;0.33458;1.0;0.80801;0.00313;0.61327;0.01317;0.20182;0.46434;0.37335;0.57749;0.33384;0.8491;0.80907;0.57386;0.11695;0.62881;0.24978;0.02149;0.83534;0.22997;0.94208;0.24927;0.03153;0.18746;0.72276;0.02889;0.39476;0.571;0.50241;0.39824
🥰;0.47319;0.89045;0.52162;0.48383;0.90078;0.59746;0.80801;1.0;0.48997;0.02742;0.87704;0.23651;0.11395;0.52523;0.22802;0.84862;0.01276;0.36685;0.02549;0.01233;0.04907;0.72393;0.00202;0.44022;0.43419;0.07879;0.20632;0.26263;0.08067;0.52114;0.96578;0.0;9e-05;0.00987;0.69122
😍;0.07534;0.02658;0.66098;0.00617;0.04071;0.91056;0.00313;0.48997;1.0;0.08294;0.00655;0.08138;0.10923;0.49917;0.06347;0.3789;0.61722;0.80529;0.27999;0.14274;0.84129;0.9202;0.00842;0.64111;0.27193;0.04117;0.96078;0.15507;0.00529;0.09827;0.76781;0.91361;0.35052;0.16814;0.26315
🌱;0.22117;0.83417;0.01419;0.96192;0.74545;0.97416;0.61327;0.02742;0.08294;1.0;0.93744;0.84978;0.31265;0.44303;0.00019;0.05259;0.33603;0.03525;0.46897;0.00094;0.01952;0.89975;0.47477;0.32043;0.0019;0.95351;0.01186;0.43045;0.82405;0.93037;0.1909;0.00255;0.05177;0.00321;0.221
😂;0.09005;0.04633;0.43429;0.02079;0.961;0.01961;0.01317;0.87704;0.00655;0.93744;1.0;0.00333;0.4789;0.46277;0.45401;0.69081;0.67225;0.47632;0.08642;0.50358;0.8368;0.71341;0.0408;0.9376;0.09767;0.11848;0.37022;0.28508;0.0788;0.51927;0.04777;0.74798;0.64997;0.1429;0.47327
🌿;0.98052;0.14301;0.35955;0.22485;0.37237;0.05526;0.20182;0.23651;0.08138;0.84978;0.00333;1.0;0.43105;0.78467;0.07422;0.90272;0.22442;0.01442;0.75463;0.11634;0.56467;0.9067;0.44525;0.00643;0.32426;0.07356;0.74246;0.92907;0.00891;0.24006;0.9386;0.54438;0.84826;0.00632;0.72505
😋;0.28255;0.13411;0.86009;0.28316;0.15628;0.43469;0.46434;0.11395;0.10923;0.31265;0.4789;0.43105;1.0;0.20971;0.31188;0.96097;0.40411;0.69717;0.22506;0.47493;0.18532;0.11027;0.1054;0.36438;0.56732;0.15197;0.45766;0.32087;0.125;0.02433;0.61247;0.07546;0.15599;0.03353;0.42592
