person_id;image_id;caption
user_8;user_80.jpg;Postcards from where i’d rather be... • How dreamy is this set up by @parkingonthewildside 🙌🏻✨
user_8;user_81.jpg;Qarantine Curves ✨ My favourite part of being a woman is our innate ability to adapt. Our very existence, our physiology and cellular make-up is designed wondrously to not only curve gracefully through the physical realm, but also to swim with fluidity, bending with feline flexibility around the multitude of challenges we are given to grow through 🦋 Just as the moon shines with radiant magnificence through her every shape, may you too learn to love yourself irrespective of the phase you are blessed to embody. #writtenbysjana (Yes I am aware that I am not a deliciously “curvy” woman, but I am proud of my body regardless of what she looks like in any moment. And at the moment, she feels more feminine and full and enriched and I enjoy it) 🌻
user_8;user_82.jpg;This is a reminder to be gentle with yourself 💛
user_8;user_83.jpg;I remember first hearing about Ubuntu when I was much much younger, and it JUST MADE SENSE. Ubuntu means “I am, because we are”. There is no seperation between you and I. Him and her. Her and it. It and I. We are all interconnected, united and bonded both by energy and spirit. I am no different from the earth I walk on. Nor the clouds that float above. Your pain is our pain. And my success is your success. But I can’t help but take a seat as the witness and watch as we (myself included - I am in no way seperate or superior to the collective and even my personal decisions and actions are not as wholesome, sustainable or conscious as they could/should be!) Continue to resist the very thing that will help to heal us.  I’ve found myself pondering this question a lot lately: “When I die, will this matter”. If it’s a no, then I choose to let it go. And if it’s a yes, then I know in my entire being that I have no choice but to move in to it. I am confronted by so many aspects of myself I’m not proud of. So many little hidden pockets i’ve filled with weights and then wonder why it’s hard to swim. And in these moments, I find I have forgotten. I’ve forgotten what it means to be here, and the importance of community, connection and what it feels like to move, breathe, speak and act from a place of unconditional love, gratitude and acceptance. I’ve forgotten that it’s “We” not “me”. I pray that as we step in to the new age, we move forward, together. May we hold hands, and progress toward the collective truth. May there be integration, not seperation. May we be helping not hurting. May we give and give and give, And remove the illusion of superiority, come back to our hearts, and REMEMBER why we are all here, sharing this experience, together. May we be kind, compassionate, warm, understanding. May we selflessly act, and may our every thought, word and action be birthed from the womb of unconditional love. May we right our wrongs, forgive and forgive again. May we remove the ego in order to unlearn, learn, integrate, grow, empower, heal, connect and rebirth only to do it again, and again. Until all that is left, is “Ubuntu” ❤️ #writtenbysjana
user_8;user_84.jpg;“Our highest knowledge is that we have come forth from the divine, pure and unblemished, containing a sacred and bottomless well of love and capacity for joy” - Elizabeth S. Eiler
user_8;user_85.jpg;“Search for soul in everything” - unknown
user_8;user_86.jpg;“Black or white, We’re all embodied light” ✨ #writtenbysjana These beautiful pictures are artworks by @odwyer_sio9 💛🦋 including the cover to my new journal in the last image ❤️🌻🦋 Thank you for sharing your talents with the world honey!
user_8;user_87.jpg;“You can’t eat beauty, it doesn’t sustain you. What is fundamentally beautiful is compassion, for yourself and those around you. That kind of beauty enflames the heart and enchants the soul”. - Lupita Nyong’o (@lupitanyongo ) • In awe of @lucia.dami and her ability to connect to the true essence within each and every unique being, creating and sharing such magic with the world! ✨❤️ these are a few of my favs!
user_8;user_88.jpg;I acknowledge Aboriginal people as the first peoples of this nation and recognise their continuing connection to land, waters and culture. I respectfully acknowledge the Awabakal peoples as traditional custodians of the land on which I stand. I pay my sincere respects to their Elders past, present and emerging. ✨ The theme for National Reconciliation Week – In this together – is now resonating in ways no one could have foreseen when it was announced last year. It is such a significant reminder that whether in a crisis or in reconciliation we are all #InThisTogether. #NRW2020 #country #home #sorry ❤️
user_8;user_89.jpg;The words my heart has been trying to scream @lesliedwight ❤️
user_8;user_810.jpg;Muted and listening. #blackouttuesday
